status,country,countryCode,region,regionName,city,zip,lat,lon,timezone,isp,org,as,query
fail,,,,,,,,,,,,,10.215.173.1
fail,,,,,,,,,,,,,10.215.173.2
success,United States,US,MO,Missouri,Kansas City,,39.0997,-94.5785,America/Chicago,Google LLC,Google Cloud,AS396982 Google LLC,107.178.240.159
success,United States,US,MO,Missouri,Kansas City,,39.0997,-94.5785,America/Chicago,Google LLC,Google Cloud,AS15169 Google LLC,130.211.34.183
success,United States,US,CA,California,San Francisco,94119,37.7749,-122.419,America/Los_Angeles,Google LLC,Google LLC,AS15169 Google LLC,142.250.189.163
success,United States,US,VA,Virginia,Ashburn,20149,39.0438,-77.4874,America/New_York,Amazon Technologies Inc.,AWS EC2 (us-east-1),"AS14618 Amazon.com, Inc.",3.229.68.101
success,United States,US,MO,Missouri,Kansas City,,39.0997,-94.5785,America/Chicago,Google LLC,Google Cloud,AS15169 Google LLC,35.186.241.51
success,United States,US,MO,Missouri,Kansas City,,39.0997,-94.5785,America/Chicago,Google LLC,Google Cloud,AS15169 Google LLC,35.190.25.25
success,United States,US,OR,Oregon,Portland,97207,45.5235,-122.676,America/Los_Angeles,"Amazon.com, Inc.",AWS EC2 (us-west-2),"AS16509 Amazon.com, Inc.",44.230.28.10
success,United States,US,VA,Virginia,Ashburn,20149,39.0438,-77.4874,America/New_York,"Amazon.com, Inc.",AWS S3 (us-east-1),"AS16509 Amazon.com, Inc.",52.217.13.12
success,United States,US,VA,Virginia,Ashburn,20149,39.0438,-77.4874,America/New_York,"Amazon.com, Inc.",AWS S3 (us-east-1),"AS16509 Amazon.com, Inc.",52.217.135.145
success,United States,US,VA,Virginia,Ashburn,20149,39.0438,-77.4874,America/New_York,"Amazon.com, Inc.",AWS S3 (us-east-1),"AS16509 Amazon.com, Inc.",52.217.202.41
success,United States,US,OR,Oregon,Portland,97207,45.5235,-122.676,America/Los_Angeles,"Amazon.com, Inc.",AWS EC2 (us-west-2),"AS16509 Amazon.com, Inc.",52.35.231.16
success,United States,US,OR,Oregon,Portland,97207,45.5235,-122.676,America/Los_Angeles,"Amazon.com, Inc.",AWS EC2 (us-west-2),"AS16509 Amazon.com, Inc.",54.213.2.126
success,United States,US,VA,Virginia,Ashburn,20149,39.0438,-77.4874,America/New_York,"Amazon.com, Inc.",AWS S3 (us-east-1),"AS16509 Amazon.com, Inc.",54.231.139.9
success,United States,US,VA,Virginia,Ashburn,20149,39.0438,-77.4874,America/New_York,"Amazon.com, Inc.",AWS S3 (us-east-1),"AS16509 Amazon.com, Inc.",54.231.194.177
success,United States,US,VA,Virginia,Ashburn,20149,39.0438,-77.4874,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-1),"AS14618 Amazon.com, Inc.",54.83.45.155
success,United States,US,WA,Washington,Seattle,98108,47.6229,-122.337,America/Los_Angeles,"Amazon.com, Inc.",AWS Global Accelerator (GLOBAL),"AS16509 Amazon.com, Inc.",76.223.13.31
