frame_no,time
6,1681867057.844577000
11,1681867057.853700000
20,1681867057.900404000
21,1681867057.902127000
77,1681867058.131577000
83,1681867058.158803000
84,1681867058.162767000
89,1681867058.202706000
259,1681867060.387084000
260,1681867060.464067000
272,1681867060.913942000
276,1681867061.098726000
281,1681867064.735712000
282,1681867064.738972000
283,1681867065.071543000
284,1681867065.789198000
305,1681867068.844569000
306,1681867069.477110000
319,1681867089.838994000
320,1681867089.858887000
