frame_no,time
1,1681922757.362901000
2,1681922757.371775000
4,1681922757.380395000
5,1681922757.383473000
7,1681922757.402217000
8,1681922757.410753000
18,1681922757.465565000
25,1681922757.485345000
54,1681922757.528450000
59,1681922757.533352000
182,1681922757.776595000
185,1681922757.779473000
207,1681922757.885495000
208,1681922757.887468000
257,1681922758.358630000
258,1681922758.371432000
270,1681922758.477025000
273,1681922758.479656000
378,1681922758.738298000
379,1681922758.740790000
409,1681922760.282038000
410,1681922760.300500000
