frame_no,ip,domain
11,44.241.48.186,m1.tuyaus.com
11,44.238.208.26,m1.tuyaus.com
11,44.239.154.208,m1.tuyaus.com
12,44.241.48.186,m1.tuyaus.com
12,44.238.208.26,m1.tuyaus.com
12,44.239.154.208,m1.tuyaus.com
93,47.254.95.248,v2.sense-u.com
94,47.254.95.248,v2.sense-u.com
199,129.226.103.217,android.bugly.qq.com
199,129.226.103.12,android.bugly.qq.com
206,129.226.103.217,android.bugly.qq.com
206,129.226.103.12,android.bugly.qq.com
228,203.119.214.17,amdcopen.m.taobao.com
229,203.119.214.17,amdcopen.m.taobao.com
