frame_no,ip,domain
1,20.109.35.196,mymedicalguardian.com
2,20.109.35.196,mymedicalguardian.com
33,3.140.39.80,ws-us2.pusher.com
33,52.14.60.18,ws-us2.pusher.com
33,3.136.24.113,ws-us2.pusher.com
33,3.16.62.71,ws-us2.pusher.com
33,3.18.79.247,ws-us2.pusher.com
33,52.14.98.81,ws-us2.pusher.com
33,18.224.247.9,ws-us2.pusher.com
33,13.59.212.206,ws-us2.pusher.com
34,3.140.39.80,ws-us2.pusher.com
34,52.14.60.18,ws-us2.pusher.com
34,3.136.24.113,ws-us2.pusher.com
34,3.16.62.71,ws-us2.pusher.com
34,3.18.79.247,ws-us2.pusher.com
34,52.14.98.81,ws-us2.pusher.com
34,18.224.247.9,ws-us2.pusher.com
34,13.59.212.206,ws-us2.pusher.com
