frame_no,ip_proto,dstport,encrypted
1,17,,Unknown
2,17,,Unknown
3,17,,Unknown
4,17,,Unknown
5,17,,Unknown
6,17,,Unknown
7,17,,Unknown
8,17,,Unknown
9,17,,Unknown
10,17,,Unknown
11,17,,Unknown
12,17,,Unknown
13,17,,Unknown
14,17,,Unknown
15,17,,Unknown
16,17,,Unknown
17,17,,Unknown
18,17,,Unknown
19,17,,Unknown
20,17,,Unknown
21,17,,Unknown
22,17,,Unknown
23,17,,Unknown
24,17,,Unknown
25,6,10005,Unknown
26,6,35926,Unknown
27,17,,Unknown
28,17,,Unknown
29,17,,Unknown
30,17,,Unknown
31,17,,Unknown
32,17,,Unknown
33,17,,Unknown
34,17,,Unknown
35,17,,Unknown
36,17,,Unknown
37,17,,Unknown
38,17,,Unknown
39,17,,Unknown
40,17,,Unknown
41,17,,Unknown
42,17,,Unknown
43,17,,Unknown
44,17,,Unknown
45,17,,Unknown
46,17,,Unknown
47,17,,Unknown
48,17,,Unknown
49,17,,Unknown
50,17,,Unknown
51,17,,Unknown
52,17,,Unknown
53,17,,Unknown
54,17,,Unknown
55,17,,Unknown
56,17,,Unknown
57,17,,Unknown
58,17,,Unknown
59,17,,Unknown
60,17,,Unknown
61,17,,Unknown
62,17,,Unknown
63,17,,Unknown
64,17,,Unknown
65,17,,Unknown
66,17,,Unknown
67,17,,Unknown
68,17,,Unknown
69,17,,Unknown
70,17,,Unknown
71,17,,Unknown
72,17,,Unknown
73,6,10005,Unknown
74,6,35930,Unknown
75,17,,Unknown
76,17,,Unknown
77,17,,Unknown
78,17,,Unknown
79,17,,Unknown
80,17,,Unknown
81,17,,Unknown
82,17,,Unknown
83,17,,Unknown
84,17,,Unknown
85,17,,Unknown
86,17,,Unknown
87,17,,Unknown
88,17,,Unknown
89,17,,Unknown
90,17,,Unknown
91,17,,Unknown
92,17,,Unknown
93,17,,Unknown
94,17,,Unknown
95,17,,Unknown
96,17,,Unknown
97,17,,Unknown
98,17,,Unknown
99,17,,Unknown
100,17,,Unknown
101,17,,Unknown
102,17,,Unknown
103,17,,Unknown
104,17,,Unknown
105,17,,Unknown
106,17,,Unknown
107,17,,Unknown
108,17,,Unknown
109,17,,Unknown
110,17,,Unknown
111,17,,Unknown
112,17,,Unknown
113,6,10005,Unknown
114,6,35934,Unknown
115,17,,Unknown
116,17,,Unknown
117,17,,Unknown
118,17,,Unknown
119,17,,Unknown
120,17,,Unknown
121,17,,Unknown
122,17,,Unknown
123,17,,Unknown
124,17,,Unknown
125,17,,Unknown
126,17,,Unknown
127,17,,Unknown
128,17,,Unknown
129,17,,Unknown
130,17,,Unknown
131,17,,Unknown
132,17,,Unknown
133,17,,Unknown
134,17,,Unknown
135,17,,Unknown
136,17,,Unknown
137,17,,Unknown
138,17,,Unknown
139,17,,Unknown
140,17,,Unknown
141,17,,Unknown
142,17,,Unknown
143,17,,Unknown
144,17,,Unknown
145,17,,Unknown
146,17,,Unknown
147,17,,Unknown
148,17,,Unknown
149,17,,Unknown
150,17,,Unknown
151,17,,Unknown
152,17,,Unknown
153,17,,Unknown
154,17,,Unknown
155,17,,Unknown
156,17,,Unknown
157,17,,Unknown
158,17,,Unknown
159,17,,Unknown
160,17,,Unknown
161,6,10005,Unknown
162,6,35938,Unknown
163,17,,Unknown
164,17,,Unknown
165,17,,Unknown
166,17,,Unknown
167,17,,Unknown
168,17,,Unknown
169,17,,Unknown
170,17,,Unknown
171,17,,Unknown
172,17,,Unknown
173,17,,Unknown
174,17,,Unknown
175,17,,Unknown
176,17,,Unknown
177,17,,Unknown
178,17,,Unknown
179,17,,Unknown
180,17,,Unknown
181,17,,Unknown
182,17,,Unknown
183,17,,Unknown
184,17,,Unknown
185,17,,Unknown
186,17,,Unknown
187,17,,Unknown
188,17,,Unknown
189,17,,Unknown
190,17,,Unknown
191,17,,Unknown
192,17,,Unknown
193,17,,Unknown
194,17,,Unknown
195,17,,Unknown
196,17,,Unknown
197,17,,Unknown
198,17,,Unknown
199,17,,Unknown
200,17,,Unknown
201,17,,Unknown
202,17,,Unknown
203,17,,Unknown
204,17,,Unknown
205,17,,Unknown
206,17,,Unknown
207,17,,Unknown
208,17,,Unknown
209,6,10005,Unknown
210,6,35942,Unknown
211,17,,Unknown
212,17,,Unknown
213,17,,Unknown
214,17,,Unknown
215,17,,Unknown
216,17,,Unknown
217,17,,Unknown
218,17,,Unknown
219,17,,Unknown
220,17,,Unknown
221,17,,Unknown
222,17,,Unknown
223,17,,Unknown
224,17,,Unknown
225,17,,Unknown
226,17,,Unknown
227,17,,Unknown
228,17,,Unknown
229,17,,Unknown
230,17,,Unknown
231,17,,Unknown
