frame_no,ip_proto,dstport,encrypted
1,17,,Unknown
2,17,,Unknown
3,6,443,Encrypted
4,6,443,Encrypted
5,6,443,Encrypted
6,6,59128,Unknown
7,6,443,Encrypted
8,6,443,Encrypted
9,6,443,Encrypted
10,6,59128,Unknown
11,6,59132,Unknown
12,6,443,Encrypted
13,6,59134,Unknown
14,6,443,Encrypted
15,6,443,Encrypted
16,6,443,Encrypted
17,6,443,Encrypted
18,6,443,Encrypted
19,6,443,Encrypted
20,6,59128,Unknown
21,6,59132,Unknown
22,6,59134,Unknown
23,6,443,Encrypted
24,6,443,Encrypted
25,6,59128,Unknown
26,6,59140,Unknown
27,6,443,Encrypted
28,6,59134,Unknown
29,6,443,Encrypted
30,6,59132,Unknown
31,6,443,Encrypted
32,6,443,Encrypted
33,6,59128,Unknown
34,6,443,Encrypted
35,6,59128,Unknown
36,6,443,Encrypted
37,6,59128,Unknown
38,6,59128,Unknown
39,6,443,Encrypted
40,6,443,Encrypted
41,6,59140,Unknown
42,6,443,Encrypted
43,6,59128,Unknown
44,6,443,Encrypted
45,6,59128,Unknown
46,6,443,Encrypted
47,6,59132,Unknown
48,6,443,Encrypted
49,6,59128,Unknown
50,6,59134,Unknown
51,17,,Unknown
52,6,443,Encrypted
53,6,443,Encrypted
54,6,59134,Unknown
55,6,443,Encrypted
56,6,443,Encrypted
57,6,59132,Unknown
58,6,443,Encrypted
59,6,59128,Unknown
60,6,59132,Unknown
61,6,59134,Unknown
62,6,59140,Unknown
63,6,443,Encrypted
64,6,443,Encrypted
65,6,443,Encrypted
66,6,59128,Unknown
67,6,59132,Unknown
68,17,,Unknown
69,6,443,Encrypted
70,6,59140,Unknown
71,6,443,Encrypted
72,6,59140,Unknown
73,6,443,Encrypted
74,6,59140,Unknown
75,6,443,Encrypted
76,6,59140,Unknown
77,6,443,Encrypted
78,6,59140,Unknown
79,6,443,Encrypted
80,6,59140,Unknown
81,6,443,Encrypted
82,6,59128,Unknown
83,6,443,Encrypted
84,6,59140,Unknown
85,6,443,Encrypted
86,6,59140,Unknown
87,6,443,Encrypted
88,6,59128,Unknown
89,6,443,Encrypted
90,6,59128,Unknown
91,6,443,Encrypted
92,6,59128,Unknown
93,17,,Unknown
94,6,47050,Unknown
95,6,443,Encrypted
96,6,59128,Unknown
97,6,59128,Unknown
98,6,443,Encrypted
99,6,443,Encrypted
100,6,443,Encrypted
101,6,47050,Unknown
102,17,,Unknown
103,6,443,Encrypted
104,6,59128,Unknown
105,6,47050,Unknown
106,6,443,Encrypted
107,6,443,Encrypted
108,6,443,Encrypted
109,6,47050,Unknown
110,6,59128,Unknown
111,6,47050,Unknown
112,6,443,Encrypted
113,6,47050,Unknown
114,6,47050,Unknown
115,6,59128,Unknown
116,6,443,Encrypted
117,6,443,Encrypted
118,6,443,Encrypted
119,6,47050,Unknown
120,6,59128,Unknown
121,6,443,Encrypted
122,6,59128,Unknown
123,6,59128,Unknown
124,6,59128,Unknown
125,6,443,Encrypted
126,6,47050,Unknown
127,6,47050,Unknown
128,6,443,Encrypted
129,6,59128,Unknown
130,6,443,Encrypted
131,6,47050,Unknown
132,6,443,Encrypted
133,6,443,Encrypted
134,6,443,Encrypted
135,6,47050,Unknown
136,6,47050,Unknown
137,6,443,Encrypted
138,6,59128,Unknown
139,6,443,Encrypted
140,6,59128,Unknown
141,6,59128,Unknown
142,6,443,Encrypted
143,6,59128,Unknown
144,6,443,Encrypted
145,6,443,Encrypted
146,6,59128,Unknown
147,6,59128,Unknown
148,6,443,Encrypted
149,6,443,Encrypted
150,6,59128,Unknown
151,6,443,Encrypted
152,6,59128,Unknown
153,6,443,Encrypted
154,6,59128,Unknown
155,6,443,Encrypted
156,6,47054,Unknown
157,6,443,Encrypted
158,6,443,Encrypted
159,6,47054,Unknown
160,6,443,Encrypted
161,6,47054,Unknown
162,6,47054,Unknown
163,6,443,Encrypted
164,6,443,Encrypted
165,6,47054,Unknown
166,6,443,Encrypted
167,6,47054,Unknown
168,6,59128,Unknown
169,6,47054,Unknown
170,6,443,Encrypted
171,6,443,Encrypted
172,6,47054,Unknown
173,6,443,Encrypted
174,6,443,Encrypted
175,6,47054,Unknown
176,6,59128,Unknown
177,6,443,Encrypted
178,6,443,Encrypted
179,6,59128,Unknown
180,6,443,Encrypted
181,6,59128,Unknown
182,6,59128,Unknown
183,6,443,Encrypted
184,6,59128,Unknown
185,6,47054,Unknown
186,6,47054,Unknown
187,6,443,Encrypted
188,6,443,Encrypted
189,6,47054,Unknown
190,6,443,Encrypted
191,6,443,Encrypted
192,6,443,Encrypted
193,6,47054,Unknown
194,6,47054,Unknown
195,6,59128,Unknown
196,6,443,Encrypted
197,6,59128,Unknown
198,6,59128,Unknown
199,6,443,Encrypted
200,6,59128,Unknown
201,6,59128,Unknown
202,6,59128,Unknown
203,6,443,Encrypted
204,6,443,Encrypted
