frame_no,ip_proto,dstport,encrypted
1,17,,Unknown
2,17,,Unknown
3,6,443,Encrypted
4,6,59116,Unknown
5,6,443,Encrypted
6,6,443,Encrypted
7,6,59116,Unknown
8,6,443,Encrypted
9,6,59116,Unknown
10,6,59116,Unknown
11,6,443,Encrypted
12,6,59116,Unknown
13,6,443,Encrypted
14,6,59116,Unknown
15,6,443,Encrypted
16,6,59116,Unknown
17,6,443,Encrypted
18,6,443,Encrypted
19,6,59116,Unknown
20,6,59116,Unknown
21,6,443,Encrypted
22,6,59116,Unknown
23,6,59116,Unknown
24,6,443,Encrypted
25,6,59116,Unknown
26,6,59116,Unknown
27,6,443,Encrypted
28,6,59116,Unknown
29,6,59116,Unknown
30,6,443,Encrypted
31,6,59116,Unknown
32,6,443,Encrypted
33,6,47870,Unknown
34,6,443,Encrypted
35,6,443,Encrypted
36,6,443,Encrypted
37,6,47870,Unknown
38,6,47870,Unknown
39,6,443,Encrypted
40,6,443,Encrypted
41,6,47870,Unknown
42,6,443,Encrypted
43,6,47870,Unknown
44,6,47870,Unknown
45,6,443,Encrypted
46,6,47870,Unknown
47,6,59116,Unknown
48,6,443,Encrypted
49,6,47870,Unknown
50,6,443,Encrypted
51,17,,Unknown
52,17,,Unknown
53,6,443,Encrypted
54,6,443,Encrypted
55,6,37792,Unknown
56,6,443,Encrypted
57,6,37794,Unknown
58,6,443,Encrypted
59,6,443,Encrypted
60,6,443,Encrypted
61,6,443,Encrypted
62,6,443,Encrypted
63,6,37792,Unknown
64,6,37794,Unknown
65,6,37792,Unknown
66,6,443,Encrypted
67,6,37794,Unknown
68,6,443,Encrypted
69,6,443,Encrypted
70,6,37794,Unknown
71,6,443,Encrypted
72,6,37794,Unknown
73,6,443,Encrypted
74,6,37792,Unknown
75,6,443,Encrypted
76,6,37792,Unknown
77,6,37792,Unknown
78,6,37794,Unknown
79,6,443,Encrypted
80,6,443,Encrypted
81,6,443,Encrypted
82,6,37794,Unknown
83,6,37794,Unknown
84,6,443,Encrypted
