status,country,countryCode,region,regionName,city,zip,lat,lon,timezone,isp,org,as,query,count,domain
success,United States,US,OH,Ohio,Dublin,43017,40.0992,-83.1141,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc.",52.14.60.18,36,ws-us2.pusher.com
success,United States,US,OH,Ohio,Dublin,43017,40.0992,-83.1141,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc.",3.136.24.113,112,ws-us2.pusher.com
success,United States,US,IL,Illinois,Elmhurst,60126,41.8957,-87.9435,America/Chicago,Google LLC,Google LLC,AS15169 Google LLC,142.250.191.42,14,firebaselogging-pa.googleapis.com
success,United States,US,OH,Ohio,Dublin,43017,40.0992,-83.1141,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc.",3.140.39.80,55,ws-us2.pusher.com
success,United States,US,OH,Ohio,Dublin,43017,40.0992,-83.1141,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc.",3.20.21.231,79,ws-us2.pusher.com
success,United States,US,OH,Ohio,Dublin,43017,40.0992,-83.1141,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc.",18.224.247.9,192,ws-us2.pusher.com
success,United States,US,TX,Texas,Mesquite,75150,32.8179,-96.6319,America/Chicago,Google LLC,Google LLC,AS15169 Google LLC,142.251.46.234,15,firebaselogging-pa.googleapis.com
success,United States,US,OH,Ohio,Dublin,43017,40.0992,-83.1141,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc.",18.223.47.27,17,ws-us2.pusher.com
success,United States,US,OH,Ohio,Dublin,43017,40.0992,-83.1141,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc.",18.216.126.12,86,ws-us2.pusher.com
success,United States,US,OH,Ohio,Dublin,43017,40.0992,-83.1141,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc.",3.21.144.98,78,ws-us2.pusher.com
fail,,,,,,,,,,,,,10.215.173.1,9974,
success,United States,US,VA,Virginia,Boydton,23917,36.677696,-78.37471,America/New_York,Microsoft Corporation,Microsoft Azure Cloud (eastus2),AS8075 Microsoft Corporation,20.109.35.196,6678,mymedicalguardian.com
success,United States,US,TX,Texas,Mesquite,75150,32.8179,-96.6319,America/Chicago,Google LLC,Google LLC,AS15169 Google LLC,142.251.46.174,1341,clients4.google.com
success,United States,US,TX,Texas,Mesquite,75150,32.8179,-96.6319,America/Chicago,Google LLC,Google LLC,AS15169 Google LLC,142.251.46.238,462,clients4.google.com
success,United States,US,FL,Florida,Titusville,32796,28.6252,-80.8461,America/New_York,Google LLC,Google LLC,AS15169 Google LLC,142.250.189.170,14,firebaselogging-pa.googleapis.com
success,United States,US,OH,Ohio,Dublin,43017,40.0992,-83.1141,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc.",3.16.93.113,79,ws-us2.pusher.com
success,United States,US,OH,Ohio,Dublin,43017,40.0992,-83.1141,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc.",3.16.62.71,78,ws-us2.pusher.com
success,United States,US,OH,Ohio,Dublin,43017,40.0992,-83.1141,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc.",52.14.98.81,88,ws-us2.pusher.com
fail,,,,,,,,,,,,,10.215.173.2,307,
success,United States,US,OH,Ohio,Dublin,43017,40.0992,-83.1141,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc.",13.59.212.206,154,ws-us2.pusher.com
success,United States,US,OH,Ohio,Dublin,43017,40.0992,-83.1141,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc.",3.18.79.247,73,ws-us2.pusher.com
success,United States,US,CA,California,San Francisco,94119,37.7749,-122.419,America/Los_Angeles,Google LLC,Google LLC,AS15169 Google LLC,172.217.12.106,16,firebaselogging-pa.googleapis.com
