status,country,countryCode,region,regionName,city,zip,lat,lon,timezone,isp,org,as,query,count,domain
success,United States,US,VA,Virginia,Ashburn,20149,39.0438,-77.4874,America/New_York,Amazon Technologies Inc.,AWS EC2 (us-east-1),"AS14618 Amazon.com, Inc.",3.229.68.101,9167,us-telekardia-production.alivecor.com
success,United States,US,VA,Virginia,Ashburn,20149,39.0438,-77.4874,America/New_York,"Amazon.com, Inc.",AWS S3 (us-east-1),"AS16509 Amazon.com, Inc.",52.217.135.145,17,alivecor-nn-us-production.s3.amazonaws.com
success,United States,US,MO,Missouri,Kansas City,,39.0997,-94.5785,America/Chicago,Google LLC,Google Cloud,AS15169 Google LLC,35.190.25.25,111,api.mixpanel.com
success,United States,US,VA,Virginia,Ashburn,20149,39.0438,-77.4874,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-1),"AS14618 Amazon.com, Inc.",54.83.45.155,8105,us-telekardia-production.alivecor.com
success,United States,US,MO,Missouri,Kansas City,,39.0997,-94.5785,America/Chicago,Google LLC,Google Cloud,AS396982 Google LLC,107.178.240.159,158,
success,United States,US,MO,Missouri,Kansas City,,39.0997,-94.5785,America/Chicago,Google LLC,Google Cloud,AS15169 Google LLC,130.211.34.183,54,api.mixpanel.com
success,United States,US,FL,Florida,Titusville,32796,28.6252,-80.8461,America/New_York,Google LLC,Google LLC,AS15169 Google LLC,142.250.189.163,33,crashlyticsreports-pa.googleapis.com
success,United States,US,MO,Missouri,Kansas City,,39.0997,-94.5785,America/Chicago,Google LLC,Google Cloud,AS15169 Google LLC,35.186.241.51,71,api.mixpanel.com
success,United States,US,VA,Virginia,Ashburn,20149,39.0438,-77.4874,America/New_York,"Amazon.com, Inc.",AWS S3 (us-east-1),"AS16509 Amazon.com, Inc.",54.231.139.9,16,alivecor-nn-us-production.s3.amazonaws.com
success,United States,US,OR,Oregon,Portland,97207,45.5235,-122.676,America/Los_Angeles,"Amazon.com, Inc.",AWS EC2 (us-west-2),"AS16509 Amazon.com, Inc.",44.230.28.10,14,client-analytics.braintreegateway.com
fail,,,,,,,,,,,,,10.215.173.1,18266,
success,United States,US,OR,Oregon,Portland,97207,45.5235,-122.676,America/Los_Angeles,"Amazon.com, Inc.",AWS EC2 (us-west-2),"AS16509 Amazon.com, Inc.",52.35.231.16,14,client-analytics.braintreegateway.com
fail,,,,,,,,,,,,,10.215.173.2,342,
success,United States,US,WA,Washington,Seattle,98108,47.6229,-122.337,America/Los_Angeles,"Amazon.com, Inc.",AWS Global Accelerator (GLOBAL),"AS16509 Amazon.com, Inc.",76.223.13.31,90,api.braintreegateway.com
success,United States,US,VA,Virginia,Ashburn,20149,39.0438,-77.4874,America/New_York,"Amazon.com, Inc.",AWS S3 (us-east-1),"AS16509 Amazon.com, Inc.",52.217.13.12,15,alivecor-nn-us-production.s3.amazonaws.com
success,United States,US,OR,Oregon,Portland,97207,45.5235,-122.676,America/Los_Angeles,"Amazon.com, Inc.",AWS EC2 (us-west-2),"AS16509 Amazon.com, Inc.",54.213.2.126,22,client-analytics.braintreegateway.com
success,United States,US,VA,Virginia,Ashburn,20149,39.0438,-77.4874,America/New_York,"Amazon.com, Inc.",AWS S3 (us-east-1),"AS16509 Amazon.com, Inc.",52.217.202.41,22,alivecor-nn-us-production.s3.amazonaws.com
success,United States,US,VA,Virginia,Ashburn,20149,39.0438,-77.4874,America/New_York,"Amazon.com, Inc.",AWS S3 (us-east-1),"AS16509 Amazon.com, Inc.",54.231.194.177,15,alivecor-nn-us-production.s3.amazonaws.com
