packet_no,packet_size,protocol,source_port,destination_port,source_host,destination_host,traffic_direction_type
1,60,tcp,42156,443,192.168.1.122,203.119.205.153,outbound
2,60,tcp,42154,443,192.168.1.122,203.119.205.153,outbound
3,60,tcp,42152,443,192.168.1.122,203.119.205.153,outbound
4,60,tcp,42148,443,192.168.1.122,203.119.205.153,outbound
5,60,tcp,49252,853,192.168.1.122,10.215.173.2,inbound
6,60,tcp,46242,443,10.215.173.1,59.82.113.90,outbound
7,48,tcp,443,46242,59.82.113.90,10.215.173.1,inbound
8,40,tcp,46242,443,10.215.173.1,59.82.113.90,outbound
9,434,tls,46242,443,10.215.173.1,59.82.113.90,outbound
10,40,tcp,443,46242,59.82.113.90,10.215.173.1,inbound
11,214,tls,443,46242,59.82.113.90,10.215.173.1,inbound
12,40,tcp,46242,443,10.215.173.1,59.82.113.90,outbound
13,368,tcp,443,46242,59.82.113.90,10.215.173.1,inbound
14,40,tcp,46242,443,10.215.173.1,59.82.113.90,outbound
15,64,tcp,46242,443,10.215.173.1,59.82.113.90,outbound
16,80,tcp,46242,443,10.215.173.1,59.82.113.90,outbound
17,40,tcp,443,46242,59.82.113.90,10.215.173.1,inbound
18,60,dns,18400,53,10.215.173.1,10.215.173.2,inbound
19,76,dns,53,18400,10.215.173.2,10.215.173.1,inbound
20,60,tcp,39814,80,10.215.173.1,47.254.95.248,outbound
21,59,dns,59011,53,10.215.173.1,10.215.173.2,inbound
22,107,dns,53,59011,10.215.173.2,10.215.173.1,inbound
23,60,tcp,43144,8883,10.215.173.1,44.241.48.186,outbound
24,60,tcp,39816,80,10.215.173.1,47.254.95.248,outbound
25,48,tcp,80,39814,47.254.95.248,10.215.173.1,inbound
26,40,tcp,39814,80,10.215.173.1,47.254.95.248,outbound
27,645,http,39814,80,10.215.173.1,47.254.95.248,outbound
28,40,tcp,80,39814,47.254.95.248,10.215.173.1,inbound
29,48,tcp,8883,43144,44.241.48.186,10.215.173.1,inbound
30,40,tcp,43144,8883,10.215.173.1,44.241.48.186,outbound
31,295,tls,43144,8883,10.215.173.1,44.241.48.186,outbound
32,40,tcp,8883,43144,44.241.48.186,10.215.173.1,inbound
33,48,tcp,80,39816,47.254.95.248,10.215.173.1,inbound
34,40,tcp,39816,80,10.215.173.1,47.254.95.248,outbound
35,661,http,39816,80,10.215.173.1,47.254.95.248,outbound
36,40,tcp,80,39816,47.254.95.248,10.215.173.1,inbound
37,765,http,80,39814,47.254.95.248,10.215.173.1,inbound
38,40,tcp,39814,80,10.215.173.1,47.254.95.248,outbound
39,4227,tls,8883,43144,44.241.48.186,10.215.173.1,inbound
40,40,tcp,43144,8883,10.215.173.1,44.241.48.186,outbound
41,387,tls,8883,43144,44.241.48.186,10.215.173.1,inbound
42,40,tcp,43144,8883,10.215.173.1,44.241.48.186,outbound
43,547,http,80,39816,47.254.95.248,10.215.173.1,inbound
44,40,tcp,39816,80,10.215.173.1,47.254.95.248,outbound
