packet_no,packet_size,protocol,source_port,destination_port,source_host,destination_host,traffic_direction_type
1,68,dns,40365,53,10.215.173.1,10.215.173.2,inbound
2,155,dns,53,40365,10.215.173.2,10.215.173.1,inbound
3,60,tcp,41386,443,10.215.173.1,104.16.65.50,inbound
4,48,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
5,40,tcp,41386,443,10.215.173.1,104.16.65.50,inbound
6,552,tls,41386,443,10.215.173.1,104.16.65.50,inbound
7,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
8,45,tls,41386,443,10.215.173.1,104.16.65.50,inbound
9,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
10,5217,tls,443,41386,104.16.65.50,10.215.173.1,inbound
11,40,tcp,41386,443,10.215.173.1,104.16.65.50,inbound
12,104,tls,41386,443,10.215.173.1,104.16.65.50,inbound
13,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
14,86,tls,41386,443,10.215.173.1,104.16.65.50,inbound
15,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
16,77,tls,41386,443,10.215.173.1,104.16.65.50,inbound
17,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
18,75,tls,41386,443,10.215.173.1,104.16.65.50,inbound
19,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
20,567,tls,41386,443,10.215.173.1,104.16.65.50,inbound
21,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
22,111,tls,443,41386,104.16.65.50,10.215.173.1,inbound
23,71,tls,41386,443,10.215.173.1,104.16.65.50,inbound
24,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
25,1201,tls,443,41386,104.16.65.50,10.215.173.1,inbound
26,40,tcp,41386,443,10.215.173.1,104.16.65.50,inbound
27,72,dns,36429,53,10.215.173.1,10.215.173.2,inbound
28,163,dns,53,36429,10.215.173.2,10.215.173.1,inbound
29,167,tls,41386,443,10.215.173.1,104.16.65.50,inbound
30,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
31,103,tls,41386,443,10.215.173.1,104.16.65.50,inbound
32,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
33,104,tls,41386,443,10.215.173.1,104.16.65.50,inbound
34,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
35,121,tls,41386,443,10.215.173.1,104.16.65.50,inbound
36,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
37,104,tls,41386,443,10.215.173.1,104.16.65.50,inbound
38,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
39,127,tls,41386,443,10.215.173.1,104.16.65.50,inbound
40,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
41,154,tls,443,41386,104.16.65.50,10.215.173.1,inbound
42,40,tcp,41386,443,10.215.173.1,104.16.65.50,inbound
43,206,tls,443,41386,104.16.65.50,10.215.173.1,inbound
44,40,tcp,41386,443,10.215.173.1,104.16.65.50,inbound
45,145,tls,443,41386,104.16.65.50,10.215.173.1,inbound
46,663,tls,443,41386,104.16.65.50,10.215.173.1,inbound
47,40,tcp,41386,443,10.215.173.1,104.16.65.50,inbound
48,1063,tls,443,41386,104.16.65.50,10.215.173.1,inbound
49,40,tcp,41386,443,10.215.173.1,104.16.65.50,inbound
50,99,tls,41386,443,10.215.173.1,104.16.65.50,inbound
51,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
52,550,tls,443,41386,104.16.65.50,10.215.173.1,inbound
53,150,tls,41386,443,10.215.173.1,104.16.65.50,inbound
54,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
55,155,tls,41386,443,10.215.173.1,104.16.65.50,inbound
56,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
57,174,tls,443,41386,104.16.65.50,10.215.173.1,inbound
58,40,tcp,41386,443,10.215.173.1,104.16.65.50,inbound
59,1105,tls,443,41386,104.16.65.50,10.215.173.1,inbound
60,40,tcp,41386,443,10.215.173.1,104.16.65.50,inbound
61,124,tls,41386,443,10.215.173.1,104.16.65.50,inbound
62,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
63,127,tls,41386,443,10.215.173.1,104.16.65.50,inbound
64,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
65,104,tls,443,41386,104.16.65.50,10.215.173.1,inbound
66,40,tcp,41386,443,10.215.173.1,104.16.65.50,inbound
67,126,tls,41386,443,10.215.173.1,104.16.65.50,inbound
68,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
69,69,dns,13624,53,10.215.173.1,10.215.173.2,inbound
70,245,dns,53,13624,10.215.173.2,10.215.173.1,inbound
71,604,tls,443,41386,104.16.65.50,10.215.173.1,inbound
72,60,tcp,51000,443,10.215.173.1,142.251.46.170,outbound
73,175,tls,443,41386,104.16.65.50,10.215.173.1,inbound
74,40,tcp,41386,443,10.215.173.1,104.16.65.50,inbound
75,106,tls,443,41386,104.16.65.50,10.215.173.1,inbound
76,120,tls,41386,443,10.215.173.1,104.16.65.50,inbound
77,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
78,48,tcp,443,51000,142.251.46.170,10.215.173.1,inbound
79,40,tcp,51000,443,10.215.173.1,142.251.46.170,outbound
80,207,tls,51000,443,10.215.173.1,142.251.46.170,outbound
81,40,tcp,443,51000,142.251.46.170,10.215.173.1,inbound
82,2840,tls,443,51000,142.251.46.170,10.215.173.1,inbound
83,40,tcp,51000,443,10.215.173.1,142.251.46.170,outbound
84,1841,tls,443,51000,142.251.46.170,10.215.173.1,inbound
85,40,tcp,51000,443,10.215.173.1,142.251.46.170,outbound
86,133,tls,51000,443,10.215.173.1,142.251.46.170,outbound
87,40,tcp,443,51000,142.251.46.170,10.215.173.1,inbound
88,404,tls,443,51000,142.251.46.170,10.215.173.1,inbound
89,108,tls,51000,443,10.215.173.1,142.251.46.170,outbound
90,40,tcp,443,51000,142.251.46.170,10.215.173.1,inbound
91,625,tls,51000,443,10.215.173.1,142.251.46.170,outbound
92,40,tcp,443,51000,142.251.46.170,10.215.173.1,inbound
93,260,tls,51000,443,10.215.173.1,142.251.46.170,outbound
94,40,tcp,443,51000,142.251.46.170,10.215.173.1,inbound
95,78,tls,51000,443,10.215.173.1,142.251.46.170,outbound
96,40,tcp,443,51000,142.251.46.170,10.215.173.1,inbound
97,78,tls,443,51000,142.251.46.170,10.215.173.1,inbound
98,106,tls,443,41386,104.16.65.50,10.215.173.1,inbound
99,111,tls,41386,443,10.215.173.1,104.16.65.50,inbound
100,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
101,40,tcp,51000,443,10.215.173.1,142.251.46.170,outbound
102,129,tls,443,41386,104.16.65.50,10.215.173.1,inbound
103,111,tls,41386,443,10.215.173.1,104.16.65.50,inbound
104,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
105,364,tls,443,51000,142.251.46.170,10.215.173.1,inbound
106,40,tcp,51000,443,10.215.173.1,142.251.46.170,outbound
107,86,tls,51000,443,10.215.173.1,142.251.46.170,outbound
108,40,tcp,443,51000,142.251.46.170,10.215.173.1,inbound
109,86,tls,51000,443,10.215.173.1,142.251.46.170,outbound
110,40,tcp,443,51000,142.251.46.170,10.215.173.1,inbound
111,71,tls,51000,443,10.215.173.1,142.251.46.170,outbound
112,40,tcp,443,51000,142.251.46.170,10.215.173.1,inbound
113,40,tcp,51000,443,10.215.173.1,142.251.46.170,outbound
114,40,tcp,443,51000,142.251.46.170,10.215.173.1,inbound
115,40,tcp,443,51000,142.251.46.170,10.215.173.1,inbound
116,99,tls,443,41386,104.16.65.50,10.215.173.1,inbound
117,114,tls,41386,443,10.215.173.1,104.16.65.50,inbound
118,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
119,106,tls,443,41386,104.16.65.50,10.215.173.1,inbound
120,108,tls,41386,443,10.215.173.1,104.16.65.50,inbound
121,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
122,106,tls,443,41386,104.16.65.50,10.215.173.1,inbound
123,40,tcp,41386,443,10.215.173.1,104.16.65.50,inbound
124,64,tls,41386,443,10.215.173.1,104.16.65.50,inbound
125,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
126,40,tcp,41386,443,10.215.173.1,104.16.65.50,inbound
127,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
128,40,tcp,443,41386,104.16.65.50,10.215.173.1,inbound
