packet_no,packet_size,protocol,source_port,destination_port,source_host,destination_host,traffic_direction_type
1,67,dns,65136,53,10.215.173.1,10.215.173.2,inbound
2,83,dns,53,65136,10.215.173.2,10.215.173.1,inbound
3,60,tcp,53830,443,10.215.173.1,20.109.35.196,outbound
4,60,tcp,53832,443,10.215.173.1,20.109.35.196,outbound
5,48,tcp,443,53830,20.109.35.196,10.215.173.1,inbound
6,40,tcp,53830,443,10.215.173.1,20.109.35.196,outbound
7,205,tls,53830,443,10.215.173.1,20.109.35.196,outbound
8,40,tcp,443,53830,20.109.35.196,10.215.173.1,inbound
9,48,tcp,443,53832,20.109.35.196,10.215.173.1,inbound
10,40,tcp,53832,443,10.215.173.1,20.109.35.196,outbound
11,205,tls,53832,443,10.215.173.1,20.109.35.196,outbound
12,40,tcp,443,53832,20.109.35.196,10.215.173.1,inbound
13,2936,tls,443,53830,20.109.35.196,10.215.173.1,inbound
14,40,tcp,53830,443,10.215.173.1,20.109.35.196,outbound
15,2714,tls,443,53830,20.109.35.196,10.215.173.1,inbound
16,5610,tls,443,53832,20.109.35.196,10.215.173.1,inbound
17,40,tcp,53830,443,10.215.173.1,20.109.35.196,outbound
18,40,tcp,53832,443,10.215.173.1,20.109.35.196,outbound
19,166,tls,53830,443,10.215.173.1,20.109.35.196,outbound
20,40,tcp,443,53830,20.109.35.196,10.215.173.1,inbound
21,166,tls,53832,443,10.215.173.1,20.109.35.196,outbound
22,40,tcp,443,53832,20.109.35.196,10.215.173.1,inbound
23,314,tls,443,53830,20.109.35.196,10.215.173.1,inbound
24,314,tls,443,53832,20.109.35.196,10.215.173.1,inbound
25,400,tls,53830,443,10.215.173.1,20.109.35.196,outbound
26,40,tcp,443,53830,20.109.35.196,10.215.173.1,inbound
27,398,tls,53832,443,10.215.173.1,20.109.35.196,outbound
28,40,tcp,443,53832,20.109.35.196,10.215.173.1,inbound
29,3842,tls,443,53830,20.109.35.196,10.215.173.1,inbound
30,40,tcp,53830,443,10.215.173.1,20.109.35.196,outbound
31,649,tls,443,53832,20.109.35.196,10.215.173.1,inbound
32,40,tcp,53832,443,10.215.173.1,20.109.35.196,outbound
33,63,dns,37710,53,10.215.173.1,10.215.173.2,inbound
34,522,dns,53,37710,10.215.173.2,10.215.173.1,inbound
35,60,tcp,42166,443,10.215.173.1,3.140.39.80,outbound
36,48,tcp,443,42166,3.140.39.80,10.215.173.1,inbound
37,40,tcp,42166,443,10.215.173.1,3.140.39.80,outbound
38,552,tls,42166,443,10.215.173.1,3.140.39.80,outbound
39,40,tcp,443,42166,3.140.39.80,10.215.173.1,inbound
40,45,tls,42166,443,10.215.173.1,3.140.39.80,outbound
41,40,tcp,443,42166,3.140.39.80,10.215.173.1,inbound
42,3036,tls,443,42166,3.140.39.80,10.215.173.1,inbound
43,40,tcp,42166,443,10.215.173.1,3.140.39.80,outbound
44,2098,tls,443,42166,3.140.39.80,10.215.173.1,inbound
45,40,tcp,42166,443,10.215.173.1,3.140.39.80,outbound
46,387,tls,443,42166,3.140.39.80,10.215.173.1,inbound
47,40,tcp,42166,443,10.215.173.1,3.140.39.80,outbound
48,166,tls,42166,443,10.215.173.1,3.140.39.80,outbound
49,40,tcp,443,42166,3.140.39.80,10.215.173.1,inbound
50,91,tls,443,42166,3.140.39.80,10.215.173.1,inbound
51,293,tls,42166,443,10.215.173.1,3.140.39.80,outbound
52,40,tcp,443,42166,3.140.39.80,10.215.173.1,inbound
53,350,tls,443,42166,3.140.39.80,10.215.173.1,inbound
54,40,tcp,42166,443,10.215.173.1,3.140.39.80,outbound
55,60,tcp,53842,443,10.215.173.1,20.109.35.196,outbound
56,404,tls,53830,443,10.215.173.1,20.109.35.196,outbound
57,40,tcp,443,53830,20.109.35.196,10.215.173.1,inbound
58,48,tcp,443,53842,20.109.35.196,10.215.173.1,inbound
59,40,tcp,53842,443,10.215.173.1,20.109.35.196,outbound
60,552,tls,53842,443,10.215.173.1,20.109.35.196,outbound
61,45,tls,53842,443,10.215.173.1,20.109.35.196,outbound
62,40,tcp,443,53842,20.109.35.196,10.215.173.1,inbound
63,5625,tls,443,53842,20.109.35.196,10.215.173.1,inbound
64,40,tcp,53842,443,10.215.173.1,20.109.35.196,outbound
65,166,tls,53842,443,10.215.173.1,20.109.35.196,outbound
66,40,tcp,443,53842,20.109.35.196,10.215.173.1,inbound
67,656,tls,443,53830,20.109.35.196,10.215.173.1,inbound
68,40,tcp,53830,443,10.215.173.1,20.109.35.196,outbound
69,314,tls,443,53842,20.109.35.196,10.215.173.1,inbound
70,509,tls,53842,443,10.215.173.1,20.109.35.196,outbound
71,40,tcp,443,53842,20.109.35.196,10.215.173.1,inbound
72,5553,tls,443,53842,20.109.35.196,10.215.173.1,inbound
73,40,tcp,53842,443,10.215.173.1,20.109.35.196,outbound
74,60,tcp,53846,443,10.215.173.1,20.109.35.196,outbound
75,409,tls,53830,443,10.215.173.1,20.109.35.196,outbound
76,40,tcp,443,53830,20.109.35.196,10.215.173.1,inbound
77,48,tcp,443,53846,20.109.35.196,10.215.173.1,inbound
78,40,tcp,53846,443,10.215.173.1,20.109.35.196,outbound
79,552,tls,53846,443,10.215.173.1,20.109.35.196,outbound
80,45,tls,53846,443,10.215.173.1,20.109.35.196,outbound
81,40,tcp,443,53846,20.109.35.196,10.215.173.1,inbound
82,679,tls,443,53830,20.109.35.196,10.215.173.1,inbound
83,40,tcp,53830,443,10.215.173.1,20.109.35.196,outbound
84,192,tls,443,53846,20.109.35.196,10.215.173.1,inbound
85,40,tcp,53846,443,10.215.173.1,20.109.35.196,outbound
86,91,tls,53846,443,10.215.173.1,20.109.35.196,outbound
87,40,tcp,443,53846,20.109.35.196,10.215.173.1,inbound
88,509,tls,53846,443,10.215.173.1,20.109.35.196,outbound
89,40,tcp,443,53846,20.109.35.196,10.215.173.1,inbound
90,5553,tls,443,53846,20.109.35.196,10.215.173.1,inbound
91,40,tcp,53846,443,10.215.173.1,20.109.35.196,outbound
92,40,tcp,53832,443,10.215.173.1,20.109.35.196,outbound
93,40,tcp,443,53832,20.109.35.196,10.215.173.1,inbound
94,40,tcp,443,53832,20.109.35.196,10.215.173.1,inbound
95,387,tls,53830,443,10.215.173.1,20.109.35.196,outbound
96,40,tcp,443,53830,20.109.35.196,10.215.173.1,inbound
97,1170,tls,443,53830,20.109.35.196,10.215.173.1,inbound
98,40,tcp,53830,443,10.215.173.1,20.109.35.196,outbound
