packet_no,packet_size,protocol,source_port,destination_port,source_host,destination_host,traffic_direction_type
1,62,dns,46034,53,10.215.173.1,10.215.173.2,inbound
2,126,dns,53,46034,10.215.173.2,10.215.173.1,inbound
3,60,tcp,38422,443,10.215.173.1,107.178.240.159,inbound
4,65,dns,43644,53,10.215.173.1,10.215.173.2,inbound
5,48,tcp,443,38422,107.178.240.159,10.215.173.1,inbound
6,159,dns,53,43644,10.215.173.2,10.215.173.1,inbound
7,40,tcp,38422,443,10.215.173.1,107.178.240.159,inbound
8,552,tls,38422,443,10.215.173.1,107.178.240.159,inbound
9,40,tcp,443,38422,107.178.240.159,10.215.173.1,inbound
10,45,tls,38422,443,10.215.173.1,107.178.240.159,inbound
11,40,tcp,443,38422,107.178.240.159,10.215.173.1,inbound
12,2840,tls,443,38422,107.178.240.159,10.215.173.1,inbound
13,40,tcp,38422,443,10.215.173.1,107.178.240.159,inbound
14,2117,tls,443,38422,107.178.240.159,10.215.173.1,inbound
15,40,tcp,38422,443,10.215.173.1,107.178.240.159,inbound
16,104,tls,38422,443,10.215.173.1,107.178.240.159,inbound
17,40,tcp,443,38422,107.178.240.159,10.215.173.1,inbound
18,591,tls,38422,443,10.215.173.1,107.178.240.159,inbound
19,40,tcp,443,38422,107.178.240.159,10.215.173.1,inbound
20,79,dns,38224,53,10.215.173.1,10.215.173.2,inbound
21,1077,tls,443,38422,107.178.240.159,10.215.173.1,inbound
22,40,tcp,38422,443,10.215.173.1,107.178.240.159,inbound
23,522,dns,53,38224,10.215.173.2,10.215.173.1,inbound
24,60,tcp,49530,443,10.215.173.1,3.229.68.101,outbound
25,48,tcp,443,49530,3.229.68.101,10.215.173.1,inbound
26,40,tcp,49530,443,10.215.173.1,3.229.68.101,outbound
27,552,tls,49530,443,10.215.173.1,3.229.68.101,outbound
28,45,tls,49530,443,10.215.173.1,3.229.68.101,outbound
29,40,tcp,443,49530,3.229.68.101,10.215.173.1,inbound
30,4661,tls,443,49530,3.229.68.101,10.215.173.1,inbound
31,40,tcp,49530,443,10.215.173.1,3.229.68.101,outbound
32,120,tls,49530,443,10.215.173.1,3.229.68.101,outbound
33,40,tcp,443,49530,3.229.68.101,10.215.173.1,inbound
34,86,tls,49530,443,10.215.173.1,3.229.68.101,outbound
35,40,tcp,443,49530,3.229.68.101,10.215.173.1,inbound
36,77,tls,49530,443,10.215.173.1,3.229.68.101,outbound
37,40,tcp,443,49530,3.229.68.101,10.215.173.1,inbound
38,75,tls,49530,443,10.215.173.1,3.229.68.101,outbound
39,40,tcp,443,49530,3.229.68.101,10.215.173.1,inbound
40,539,tls,49530,443,10.215.173.1,3.229.68.101,outbound
41,40,tcp,443,49530,3.229.68.101,10.215.173.1,inbound
42,260,tls,443,49530,3.229.68.101,10.215.173.1,inbound
43,71,tls,49530,443,10.215.173.1,3.229.68.101,outbound
44,40,tcp,443,49530,3.229.68.101,10.215.173.1,inbound
45,71,tls,443,49530,3.229.68.101,10.215.173.1,inbound
46,75,tls,443,49530,3.229.68.101,10.215.173.1,inbound
47,40,tcp,49530,443,10.215.173.1,3.229.68.101,outbound
48,1408,tls,443,49530,3.229.68.101,10.215.173.1,inbound
49,40,tcp,49530,443,10.215.173.1,3.229.68.101,outbound
50,62,dns,3256,53,10.215.173.1,10.215.173.2,inbound
51,60,tcp,49534,443,10.215.173.1,3.229.68.101,outbound
52,60,tcp,49538,443,10.215.173.1,3.229.68.101,outbound
53,60,tcp,49542,443,10.215.173.1,3.229.68.101,outbound
54,83,dns,5785,53,10.215.173.1,10.215.173.2,inbound
55,60,tcp,49546,443,10.215.173.1,3.229.68.101,outbound
56,60,tcp,49548,443,10.215.173.1,3.229.68.101,outbound
57,60,tcp,49550,443,10.215.173.1,3.229.68.101,outbound
58,60,tcp,49554,443,10.215.173.1,3.229.68.101,outbound
59,60,tcp,49558,443,10.215.173.1,3.229.68.101,outbound
60,60,tcp,49560,443,10.215.173.1,3.229.68.101,outbound
61,60,tcp,49564,443,10.215.173.1,3.229.68.101,outbound
62,60,tcp,49566,443,10.215.173.1,3.229.68.101,outbound
63,60,tcp,49570,443,10.215.173.1,3.229.68.101,outbound
64,60,tcp,49572,443,10.215.173.1,3.229.68.101,outbound
65,60,tcp,49574,443,10.215.173.1,3.229.68.101,outbound
66,60,tcp,49576,443,10.215.173.1,3.229.68.101,outbound
67,60,tcp,49580,443,10.215.173.1,3.229.68.101,outbound
68,60,tcp,49582,443,10.215.173.1,3.229.68.101,outbound
69,60,tcp,49588,443,10.215.173.1,3.229.68.101,outbound
70,60,tcp,49590,443,10.215.173.1,3.229.68.101,outbound
71,60,tcp,49592,443,10.215.173.1,3.229.68.101,outbound
72,60,tcp,49594,443,10.215.173.1,3.229.68.101,outbound
73,60,tcp,49598,443,10.215.173.1,3.229.68.101,outbound
74,60,tcp,49616,443,10.215.173.1,3.229.68.101,outbound
75,539,dns,53,3256,10.215.173.2,10.215.173.1,inbound
76,48,tcp,443,49534,3.229.68.101,10.215.173.1,inbound
77,48,tcp,443,49538,3.229.68.101,10.215.173.1,inbound
78,48,tcp,443,49542,3.229.68.101,10.215.173.1,inbound
79,538,dns,53,5785,10.215.173.2,10.215.173.1,inbound
80,48,tcp,443,49546,3.229.68.101,10.215.173.1,inbound
81,48,tcp,443,49548,3.229.68.101,10.215.173.1,inbound
82,48,tcp,443,49550,3.229.68.101,10.215.173.1,inbound
83,40,tcp,49534,443,10.215.173.1,3.229.68.101,outbound
84,40,tcp,49538,443,10.215.173.1,3.229.68.101,outbound
85,40,tcp,49542,443,10.215.173.1,3.229.68.101,outbound
86,552,tls,49542,443,10.215.173.1,3.229.68.101,outbound
87,45,tls,49542,443,10.215.173.1,3.229.68.101,outbound
88,552,tls,49538,443,10.215.173.1,3.229.68.101,outbound
89,45,tls,49538,443,10.215.173.1,3.229.68.101,outbound
90,552,tls,49534,443,10.215.173.1,3.229.68.101,outbound
91,45,tls,49534,443,10.215.173.1,3.229.68.101,outbound
92,40,tcp,49546,443,10.215.173.1,3.229.68.101,outbound
93,552,tls,49546,443,10.215.173.1,3.229.68.101,outbound
94,45,tls,49546,443,10.215.173.1,3.229.68.101,outbound
95,40,tcp,49548,443,10.215.173.1,3.229.68.101,outbound
96,40,tcp,49550,443,10.215.173.1,3.229.68.101,outbound
97,60,tcp,49626,443,10.215.173.1,3.229.68.101,outbound
98,60,tcp,49628,443,10.215.173.1,3.229.68.101,outbound
99,60,tcp,49630,443,10.215.173.1,3.229.68.101,outbound
100,60,tcp,49632,443,10.215.173.1,3.229.68.101,outbound
101,552,tls,49550,443,10.215.173.1,3.229.68.101,outbound
102,45,tls,49550,443,10.215.173.1,3.229.68.101,outbound
103,60,tcp,49634,443,10.215.173.1,3.229.68.101,outbound
104,60,tcp,49636,443,10.215.173.1,3.229.68.101,outbound
105,552,tls,49548,443,10.215.173.1,3.229.68.101,outbound
106,45,tls,49548,443,10.215.173.1,3.229.68.101,outbound
107,60,tcp,49638,443,10.215.173.1,3.229.68.101,outbound
108,60,tcp,49640,443,10.215.173.1,3.229.68.101,outbound
109,60,tcp,49642,443,10.215.173.1,3.229.68.101,outbound
110,60,tcp,49644,443,10.215.173.1,3.229.68.101,outbound
111,40,tcp,443,49534,3.229.68.101,10.215.173.1,inbound
112,40,tcp,443,49538,3.229.68.101,10.215.173.1,inbound
113,40,tcp,443,49542,3.229.68.101,10.215.173.1,inbound
114,40,tcp,443,49546,3.229.68.101,10.215.173.1,inbound
115,40,tcp,443,49548,3.229.68.101,10.215.173.1,inbound
116,40,tcp,443,49550,3.229.68.101,10.215.173.1,inbound
117,48,tcp,443,49554,3.229.68.101,10.215.173.1,inbound
118,48,tcp,443,49558,3.229.68.101,10.215.173.1,inbound
119,48,tcp,443,49560,3.229.68.101,10.215.173.1,inbound
120,48,tcp,443,49564,3.229.68.101,10.215.173.1,inbound
121,48,tcp,443,49566,3.229.68.101,10.215.173.1,inbound
122,48,tcp,443,49570,3.229.68.101,10.215.173.1,inbound
123,48,tcp,443,49572,3.229.68.101,10.215.173.1,inbound
124,48,tcp,443,49574,3.229.68.101,10.215.173.1,inbound
125,48,tcp,443,49576,3.229.68.101,10.215.173.1,inbound
126,40,tcp,49554,443,10.215.173.1,3.229.68.101,outbound
127,40,tcp,49558,443,10.215.173.1,3.229.68.101,outbound
128,40,tcp,49560,443,10.215.173.1,3.229.68.101,outbound
129,552,tls,49554,443,10.215.173.1,3.229.68.101,outbound
130,45,tls,49554,443,10.215.173.1,3.229.68.101,outbound
131,552,tls,49560,443,10.215.173.1,3.229.68.101,outbound
132,45,tls,49560,443,10.215.173.1,3.229.68.101,outbound
133,40,tcp,49564,443,10.215.173.1,3.229.68.101,outbound
134,40,tcp,49566,443,10.215.173.1,3.229.68.101,outbound
135,40,tcp,49570,443,10.215.173.1,3.229.68.101,outbound
136,40,tcp,49572,443,10.215.173.1,3.229.68.101,outbound
137,552,tls,49558,443,10.215.173.1,3.229.68.101,outbound
138,45,tls,49558,443,10.215.173.1,3.229.68.101,outbound
139,552,tls,49572,443,10.215.173.1,3.229.68.101,outbound
140,45,tls,49572,443,10.215.173.1,3.229.68.101,outbound
141,40,tcp,49574,443,10.215.173.1,3.229.68.101,outbound
142,40,tcp,49576,443,10.215.173.1,3.229.68.101,outbound
143,552,tls,49564,443,10.215.173.1,3.229.68.101,outbound
144,45,tls,49564,443,10.215.173.1,3.229.68.101,outbound
145,552,tls,49576,443,10.215.173.1,3.229.68.101,outbound
146,45,tls,49576,443,10.215.173.1,3.229.68.101,outbound
147,40,tcp,443,49554,3.229.68.101,10.215.173.1,inbound
148,40,tcp,443,49558,3.229.68.101,10.215.173.1,inbound
149,40,tcp,443,49560,3.229.68.101,10.215.173.1,inbound
150,40,tcp,443,49564,3.229.68.101,10.215.173.1,inbound
151,40,tcp,443,49572,3.229.68.101,10.215.173.1,inbound
152,40,tcp,443,49576,3.229.68.101,10.215.173.1,inbound
153,48,tcp,443,49580,3.229.68.101,10.215.173.1,inbound
154,40,tcp,49580,443,10.215.173.1,3.229.68.101,outbound
155,552,tls,49566,443,10.215.173.1,3.229.68.101,outbound
156,45,tls,49566,443,10.215.173.1,3.229.68.101,outbound
157,552,tls,49570,443,10.215.173.1,3.229.68.101,outbound
158,552,tls,49580,443,10.215.173.1,3.229.68.101,outbound
159,45,tls,49570,443,10.215.173.1,3.229.68.101,outbound
160,45,tls,49580,443,10.215.173.1,3.229.68.101,outbound
161,40,tcp,443,49566,3.229.68.101,10.215.173.1,inbound
162,40,tcp,443,49570,3.229.68.101,10.215.173.1,inbound
163,40,tcp,443,49580,3.229.68.101,10.215.173.1,inbound
164,48,tcp,443,49582,3.229.68.101,10.215.173.1,inbound
165,40,tcp,49582,443,10.215.173.1,3.229.68.101,outbound
166,48,tcp,443,49588,3.229.68.101,10.215.173.1,inbound
167,40,tcp,49588,443,10.215.173.1,3.229.68.101,outbound
168,552,tls,49574,443,10.215.173.1,3.229.68.101,outbound
169,45,tls,49574,443,10.215.173.1,3.229.68.101,outbound
170,40,tcp,443,49574,3.229.68.101,10.215.173.1,inbound
171,552,tls,49582,443,10.215.173.1,3.229.68.101,outbound
172,45,tls,49582,443,10.215.173.1,3.229.68.101,outbound
173,552,tls,49588,443,10.215.173.1,3.229.68.101,outbound
174,45,tls,49588,443,10.215.173.1,3.229.68.101,outbound
175,40,tcp,443,49582,3.229.68.101,10.215.173.1,inbound
176,40,tcp,443,49588,3.229.68.101,10.215.173.1,inbound
177,48,tcp,443,49590,3.229.68.101,10.215.173.1,inbound
178,40,tcp,49590,443,10.215.173.1,3.229.68.101,outbound
179,552,tls,49590,443,10.215.173.1,3.229.68.101,outbound
180,45,tls,49590,443,10.215.173.1,3.229.68.101,outbound
181,40,tcp,443,49590,3.229.68.101,10.215.173.1,inbound
182,48,tcp,443,49592,3.229.68.101,10.215.173.1,inbound
183,40,tcp,49592,443,10.215.173.1,3.229.68.101,outbound
184,552,tls,49592,443,10.215.173.1,3.229.68.101,outbound
185,45,tls,49592,443,10.215.173.1,3.229.68.101,outbound
186,40,tcp,443,49592,3.229.68.101,10.215.173.1,inbound
187,48,tcp,443,49594,3.229.68.101,10.215.173.1,inbound
188,40,tcp,49594,443,10.215.173.1,3.229.68.101,outbound
189,552,tls,49594,443,10.215.173.1,3.229.68.101,outbound
190,45,tls,49594,443,10.215.173.1,3.229.68.101,outbound
191,40,tcp,443,49594,3.229.68.101,10.215.173.1,inbound
192,48,tcp,443,49598,3.229.68.101,10.215.173.1,inbound
193,40,tcp,49598,443,10.215.173.1,3.229.68.101,outbound
194,552,tls,49598,443,10.215.173.1,3.229.68.101,outbound
195,45,tls,49598,443,10.215.173.1,3.229.68.101,outbound
196,40,tcp,443,49598,3.229.68.101,10.215.173.1,inbound
197,48,tcp,443,49616,3.229.68.101,10.215.173.1,inbound
198,40,tcp,49616,443,10.215.173.1,3.229.68.101,outbound
199,552,tls,49616,443,10.215.173.1,3.229.68.101,outbound
200,45,tls,49616,443,10.215.173.1,3.229.68.101,outbound
201,40,tcp,443,49616,3.229.68.101,10.215.173.1,inbound
202,48,tcp,443,49626,3.229.68.101,10.215.173.1,inbound
203,40,tcp,49626,443,10.215.173.1,3.229.68.101,outbound
204,552,tls,49626,443,10.215.173.1,3.229.68.101,outbound
205,45,tls,49626,443,10.215.173.1,3.229.68.101,outbound
206,40,tcp,443,49626,3.229.68.101,10.215.173.1,inbound
207,48,tcp,443,49628,3.229.68.101,10.215.173.1,inbound
208,40,tcp,49628,443,10.215.173.1,3.229.68.101,outbound
209,552,tls,49628,443,10.215.173.1,3.229.68.101,outbound
210,45,tls,49628,443,10.215.173.1,3.229.68.101,outbound
211,40,tcp,443,49628,3.229.68.101,10.215.173.1,inbound
212,48,tcp,443,49630,3.229.68.101,10.215.173.1,inbound
213,40,tcp,49630,443,10.215.173.1,3.229.68.101,outbound
214,552,tls,49630,443,10.215.173.1,3.229.68.101,outbound
215,45,tls,49630,443,10.215.173.1,3.229.68.101,outbound
216,40,tcp,443,49630,3.229.68.101,10.215.173.1,inbound
217,48,tcp,443,49632,3.229.68.101,10.215.173.1,inbound
218,40,tcp,49632,443,10.215.173.1,3.229.68.101,outbound
219,552,tls,49632,443,10.215.173.1,3.229.68.101,outbound
220,45,tls,49632,443,10.215.173.1,3.229.68.101,outbound
221,40,tcp,443,49632,3.229.68.101,10.215.173.1,inbound
222,48,tcp,443,49634,3.229.68.101,10.215.173.1,inbound
223,48,tcp,443,49636,3.229.68.101,10.215.173.1,inbound
224,40,tcp,49634,443,10.215.173.1,3.229.68.101,outbound
225,40,tcp,49636,443,10.215.173.1,3.229.68.101,outbound
226,48,tcp,443,49638,3.229.68.101,10.215.173.1,inbound
227,48,tcp,443,49640,3.229.68.101,10.215.173.1,inbound
228,48,tcp,443,49642,3.229.68.101,10.215.173.1,inbound
229,40,tcp,49638,443,10.215.173.1,3.229.68.101,outbound
230,40,tcp,49640,443,10.215.173.1,3.229.68.101,outbound
231,40,tcp,49642,443,10.215.173.1,3.229.68.101,outbound
232,552,tls,49634,443,10.215.173.1,3.229.68.101,outbound
233,45,tls,49634,443,10.215.173.1,3.229.68.101,outbound
234,40,tcp,443,49634,3.229.68.101,10.215.173.1,inbound
235,552,tls,49638,443,10.215.173.1,3.229.68.101,outbound
236,45,tls,49638,443,10.215.173.1,3.229.68.101,outbound
237,552,tls,49636,443,10.215.173.1,3.229.68.101,outbound
238,45,tls,49636,443,10.215.173.1,3.229.68.101,outbound
239,552,tls,49640,443,10.215.173.1,3.229.68.101,outbound
240,45,tls,49640,443,10.215.173.1,3.229.68.101,outbound
241,552,tls,49642,443,10.215.173.1,3.229.68.101,outbound
242,45,tls,49642,443,10.215.173.1,3.229.68.101,outbound
243,4136,tls,443,49546,3.229.68.101,10.215.173.1,inbound
244,40,tcp,443,49636,3.229.68.101,10.215.173.1,inbound
245,40,tcp,443,49638,3.229.68.101,10.215.173.1,inbound
246,40,tcp,443,49640,3.229.68.101,10.215.173.1,inbound
247,40,tcp,443,49642,3.229.68.101,10.215.173.1,inbound
