packet_no,packet_size,protocol,source_port,destination_port,source_host,destination_host,traffic_direction_type
1,59,dns,42277,53,10.215.173.1,10.215.173.2,inbound
2,187,dns,53,42277,10.215.173.2,10.215.173.1,inbound
3,60,tcp,53434,443,10.215.173.1,43.201.128.52,outbound
4,48,tcp,443,53434,43.201.128.52,10.215.173.1,inbound
5,40,tcp,53434,443,10.215.173.1,43.201.128.52,outbound
6,552,tls,53434,443,10.215.173.1,43.201.128.52,outbound
7,45,tls,53434,443,10.215.173.1,43.201.128.52,outbound
8,40,tcp,443,53434,43.201.128.52,10.215.173.1,inbound
9,159,tls,443,53434,43.201.128.52,10.215.173.1,inbound
10,40,tcp,53434,443,10.215.173.1,43.201.128.52,outbound
11,5332,tls,443,53434,43.201.128.52,10.215.173.1,inbound
12,40,tcp,53434,443,10.215.173.1,43.201.128.52,outbound
13,49,tls,443,53434,43.201.128.52,10.215.173.1,inbound
14,40,tcp,53434,443,10.215.173.1,43.201.128.52,outbound
15,166,tls,53434,443,10.215.173.1,43.201.128.52,outbound
16,40,tcp,443,53434,43.201.128.52,10.215.173.1,inbound
17,211,tls,443,53434,43.201.128.52,10.215.173.1,inbound
18,308,tls,53434,443,10.215.173.1,43.201.128.52,outbound
19,40,tcp,443,53434,43.201.128.52,10.215.173.1,inbound
20,859,tls,443,53434,43.201.128.52,10.215.173.1,inbound
21,87,tls,53434,443,10.215.173.1,43.201.128.52,outbound
22,40,tcp,443,53434,43.201.128.52,10.215.173.1,inbound
23,83,tls,443,53434,43.201.128.52,10.215.173.1,inbound
24,285,tls,53434,443,10.215.173.1,43.201.128.52,outbound
25,40,tcp,443,53434,43.201.128.52,10.215.173.1,inbound
26,131,tls,443,53434,43.201.128.52,10.215.173.1,inbound
27,103,tls,53434,443,10.215.173.1,43.201.128.52,outbound
28,40,tcp,443,53434,43.201.128.52,10.215.173.1,inbound
29,60,tcp,48076,443,10.215.173.1,3.33.160.75,outbound
30,48,tcp,443,48076,3.33.160.75,10.215.173.1,inbound
31,40,tcp,48076,443,10.215.173.1,3.33.160.75,outbound
32,552,tls,48076,443,10.215.173.1,3.33.160.75,outbound
33,45,tls,48076,443,10.215.173.1,3.33.160.75,outbound
34,40,tcp,443,48076,3.33.160.75,10.215.173.1,inbound
35,196,tls,443,48076,3.33.160.75,10.215.173.1,inbound
36,40,tcp,48076,443,10.215.173.1,3.33.160.75,outbound
37,91,tls,48076,443,10.215.173.1,3.33.160.75,outbound
38,40,tcp,443,48076,3.33.160.75,10.215.173.1,inbound
39,606,tls,48076,443,10.215.173.1,3.33.160.75,outbound
40,40,tcp,443,48076,3.33.160.75,10.215.173.1,inbound
41,96,tls,443,53434,43.201.128.52,10.215.173.1,inbound
42,40,tcp,53434,443,10.215.173.1,43.201.128.52,outbound
43,118,tls,443,48076,3.33.160.75,10.215.173.1,inbound
44,78,tls,48076,443,10.215.173.1,3.33.160.75,outbound
45,40,tcp,443,48076,3.33.160.75,10.215.173.1,inbound
46,3144,tls,443,48076,3.33.160.75,10.215.173.1,inbound
47,40,tcp,48076,443,10.215.173.1,3.33.160.75,outbound
48,87,tls,53434,443,10.215.173.1,43.201.128.52,outbound
