packet_no,packet_size,protocol,source_port,destination_port,source_host,destination_host,traffic_direction_type
1,91,dns,53,49548,10.215.173.2,10.215.173.1,inbound
2,60,tcp,52312,443,10.215.173.1,34.111.202.166,outbound
3,48,tcp,443,52312,34.111.202.166,10.215.173.1,inbound
4,40,tcp,52312,443,10.215.173.1,34.111.202.166,outbound
5,552,tls,52312,443,10.215.173.1,34.111.202.166,outbound
6,104,tls,52312,443,10.215.173.1,34.111.202.166,outbound
7,40,tcp,443,52312,34.111.202.166,10.215.173.1,inbound
8,258,tls,443,52312,34.111.202.166,10.215.173.1,inbound
9,40,tcp,52312,443,10.215.173.1,34.111.202.166,outbound
10,104,tls,52312,443,10.215.173.1,34.111.202.166,outbound
11,40,tcp,443,52312,34.111.202.166,10.215.173.1,inbound
12,4641,tls,52312,443,10.215.173.1,34.111.202.166,outbound
13,40,tcp,443,52312,34.111.202.166,10.215.173.1,inbound
14,804,tls,443,52312,34.111.202.166,10.215.173.1,inbound
15,60,tcp,57400,853,192.168.1.129,10.215.173.2,inbound
16,40,tcp,52312,443,10.215.173.1,34.111.202.166,outbound
17,60,tcp,57400,853,192.168.1.129,10.215.173.2,inbound
18,60,tcp,57400,853,192.168.1.129,10.215.173.2,inbound
