packet_no,packet_size,protocol,source_port,destination_port,source_host,destination_host,traffic_direction_type
1,76,dns,54482,53,10.215.173.1,10.215.173.2,inbound
2,108,dns,53,54482,10.215.173.2,10.215.173.1,inbound
3,60,tcp,48724,443,10.215.173.1,52.200.116.28,outbound
4,48,tcp,443,48724,52.200.116.28,10.215.173.1,inbound
5,40,tcp,48724,443,10.215.173.1,52.200.116.28,outbound
6,557,tls,48724,443,10.215.173.1,52.200.116.28,outbound
7,40,tcp,443,48724,52.200.116.28,10.215.173.1,inbound
8,79,dns,41882,53,10.215.173.1,10.215.173.2,inbound
9,72,dns,36441,53,10.215.173.1,10.215.173.2,inbound
10,159,tls,443,48724,52.200.116.28,10.215.173.1,inbound
11,40,tcp,48724,443,10.215.173.1,52.200.116.28,outbound
12,5363,tls,443,48724,52.200.116.28,10.215.173.1,inbound
13,219,dns,53,41882,10.215.173.2,10.215.173.1,inbound
14,201,dns,53,36441,10.215.173.2,10.215.173.1,inbound
15,40,tcp,48724,443,10.215.173.1,52.200.116.28,outbound
16,60,tcp,46936,443,10.215.173.1,44.231.241.95,outbound
17,166,tls,48724,443,10.215.173.1,52.200.116.28,outbound
18,60,tcp,43364,443,10.215.173.1,52.88.36.62,outbound
19,61,dns,46695,53,10.215.173.1,10.215.173.2,inbound
20,40,tcp,443,48724,52.200.116.28,10.215.173.1,inbound
21,265,dns,53,46695,10.215.173.2,10.215.173.1,inbound
22,60,tcp,45788,443,10.215.173.1,54.187.122.82,outbound
23,60,tcp,43366,443,10.215.173.1,52.88.36.62,outbound
24,60,tcp,43376,443,10.215.173.1,52.88.36.62,outbound
25,74,dns,46813,53,10.215.173.1,10.215.173.2,inbound
26,60,tcp,43384,443,10.215.173.1,52.88.36.62,outbound
27,60,tcp,45796,443,10.215.173.1,54.187.122.82,outbound
28,60,tcp,45798,443,10.215.173.1,54.187.122.82,outbound
29,81,dns,57551,53,10.215.173.1,10.215.173.2,inbound
30,48,tcp,443,46936,44.231.241.95,10.215.173.1,inbound
31,48,tcp,443,43364,52.88.36.62,10.215.173.1,inbound
32,48,tcp,443,45788,54.187.122.82,10.215.173.1,inbound
33,185,dns,53,46813,10.215.173.2,10.215.173.1,inbound
34,40,tcp,46936,443,10.215.173.1,44.231.241.95,outbound
35,557,tls,46936,443,10.215.173.1,44.231.241.95,outbound
36,40,tcp,43364,443,10.215.173.1,52.88.36.62,outbound
37,557,tls,43364,443,10.215.173.1,52.88.36.62,outbound
38,40,tcp,45788,443,10.215.173.1,54.187.122.82,outbound
39,557,tls,45788,443,10.215.173.1,54.187.122.82,outbound
40,40,tcp,443,46936,44.231.241.95,10.215.173.1,inbound
41,40,tcp,443,43364,52.88.36.62,10.215.173.1,inbound
42,40,tcp,443,45788,54.187.122.82,10.215.173.1,inbound
43,197,dns,53,57551,10.215.173.2,10.215.173.1,inbound
44,60,tcp,42640,443,10.215.173.1,44.229.105.13,outbound
45,60,tcp,42646,443,10.215.173.1,44.229.105.13,outbound
46,60,tcp,42660,443,10.215.173.1,44.229.105.13,outbound
47,60,tcp,38910,443,10.215.173.1,54.200.94.135,outbound
48,60,tcp,42668,443,10.215.173.1,44.229.105.13,outbound
49,211,tls,443,48724,52.200.116.28,10.215.173.1,inbound
50,48,tcp,443,43366,52.88.36.62,10.215.173.1,inbound
51,6044,tls,48724,443,10.215.173.1,52.200.116.28,outbound
52,40,tcp,43366,443,10.215.173.1,52.88.36.62,outbound
53,557,tls,43366,443,10.215.173.1,52.88.36.62,outbound
54,40,tcp,443,48724,52.200.116.28,10.215.173.1,inbound
55,40,tcp,443,43366,52.88.36.62,10.215.173.1,inbound
56,48,tcp,443,43376,52.88.36.62,10.215.173.1,inbound
57,40,tcp,43376,443,10.215.173.1,52.88.36.62,outbound
58,557,tls,43376,443,10.215.173.1,52.88.36.62,outbound
59,40,tcp,443,43376,52.88.36.62,10.215.173.1,inbound
60,66,dns,57570,53,10.215.173.1,10.215.173.2,inbound
61,48,tcp,443,43384,52.88.36.62,10.215.173.1,inbound
62,40,tcp,43384,443,10.215.173.1,52.88.36.62,outbound
63,60,tcp,45128,853,192.168.1.122,10.215.173.2,inbound
64,557,tls,43384,443,10.215.173.1,52.88.36.62,outbound
65,40,tcp,443,43384,52.88.36.62,10.215.173.1,inbound
66,48,tcp,443,45796,54.187.122.82,10.215.173.1,inbound
67,48,tcp,443,45798,54.187.122.82,10.215.173.1,inbound
68,40,tcp,45796,443,10.215.173.1,54.187.122.82,outbound
69,40,tcp,45798,443,10.215.173.1,54.187.122.82,outbound
70,557,tls,45796,443,10.215.173.1,54.187.122.82,outbound
71,557,tls,45798,443,10.215.173.1,54.187.122.82,outbound
72,40,tcp,443,45796,54.187.122.82,10.215.173.1,inbound
73,40,tcp,443,45798,54.187.122.82,10.215.173.1,inbound
74,3106,tls,443,45788,54.187.122.82,10.215.173.1,inbound
75,40,tcp,45788,443,10.215.173.1,54.187.122.82,outbound
76,1601,tls,443,46936,44.231.241.95,10.215.173.1,inbound
77,378,tls,443,45788,54.187.122.82,10.215.173.1,inbound
78,40,tcp,46936,443,10.215.173.1,44.231.241.95,outbound
79,40,tcp,45788,443,10.215.173.1,54.187.122.82,outbound
80,1892,tls,443,46936,44.231.241.95,10.215.173.1,inbound
81,49,tls,443,45788,54.187.122.82,10.215.173.1,inbound
