frame_no,layer_1,is_encrypted_1,layer_2,is_encrypted_2,layer_3,is_encrypted_3,layer_4,is_encrypted_4,layer_5,is_encrypted_5
1,raw,False,ip,False,udp,False,data,False,,
2,raw,False,ip,False,udp,False,data,False,,
3,raw,False,ip,False,udp,False,data,False,,
4,raw,False,ip,False,udp,False,data,False,,
5,raw,False,ip,False,udp,False,data,False,,
6,raw,False,ip,False,udp,False,data,False,,
7,raw,False,ip,False,udp,False,data,False,,
8,raw,False,ip,False,udp,False,data,False,,
9,raw,False,ip,False,udp,False,data,False,,
10,raw,False,ip,False,udp,False,data,False,,
11,raw,False,ip,False,udp,False,data,False,,
12,raw,False,ip,False,udp,False,data,False,,
13,raw,False,ip,False,udp,False,data,False,,
14,raw,False,ip,False,udp,False,data,False,,
15,raw,False,ip,False,udp,False,data,False,,
16,raw,False,ip,False,udp,False,data,False,,
17,raw,False,ip,False,udp,False,data,False,,
18,raw,False,ip,False,udp,False,data,False,,
19,raw,False,ip,False,udp,False,data,False,,
20,raw,False,ip,False,udp,False,data,False,,
21,raw,False,ip,False,udp,False,data,False,,
22,raw,False,ip,False,udp,False,data,False,,
23,raw,False,ip,False,udp,False,data,False,,
24,raw,False,ip,False,udp,False,data,False,,
25,raw,False,ip,False,udp,False,data,False,,
26,raw,False,ip,False,udp,False,data,False,,
27,raw,False,ip,False,udp,False,data,False,,
28,raw,False,ip,False,udp,False,data,False,,
29,raw,False,ip,False,udp,False,data,False,,
30,raw,False,ip,False,udp,False,data,False,,
31,raw,False,ip,False,udp,False,data,False,,
32,raw,False,ip,False,udp,False,data,False,,
33,raw,False,ip,False,udp,False,data,False,,
34,raw,False,ip,False,udp,False,data,False,,
35,raw,False,ip,False,udp,False,data,False,,
36,raw,False,ip,False,udp,False,data,False,,
37,raw,False,ip,False,udp,False,data,False,,
38,raw,False,ip,False,udp,False,data,False,,
39,raw,False,ip,False,tcp,False,,,,
40,raw,False,ip,False,udp,False,data,False,,
41,raw,False,ip,False,tcp,False,,,,
42,raw,False,ip,False,udp,False,data,False,,
43,raw,False,ip,False,udp,False,data,False,,
44,raw,False,ip,False,udp,False,data,False,,
45,raw,False,ip,False,udp,False,data,False,,
46,raw,False,ip,False,udp,False,data,False,,
47,raw,False,ip,False,udp,False,data,False,,
48,raw,False,ip,False,udp,False,data,False,,
49,raw,False,ip,False,udp,False,data,False,,
50,raw,False,ip,False,udp,False,data,False,,
51,raw,False,ip,False,udp,False,data,False,,
52,raw,False,ip,False,udp,False,data,False,,
53,raw,False,ip,False,udp,False,data,False,,
54,raw,False,ip,False,udp,False,data,False,,
55,raw,False,ip,False,udp,False,data,False,,
56,raw,False,ip,False,udp,False,data,False,,
57,raw,False,ip,False,udp,False,data,False,,
58,raw,False,ip,False,udp,False,data,False,,
59,raw,False,ip,False,udp,False,data,False,,
60,raw,False,ip,False,udp,False,data,False,,
61,raw,False,ip,False,udp,False,data,False,,
62,raw,False,ip,False,udp,False,data,False,,
63,raw,False,ip,False,udp,False,data,False,,
64,raw,False,ip,False,udp,False,data,False,,
65,raw,False,ip,False,udp,False,data,False,,
66,raw,False,ip,False,udp,False,data,False,,
67,raw,False,ip,False,udp,False,data,False,,
68,raw,False,ip,False,udp,False,data,False,,
69,raw,False,ip,False,udp,False,data,False,,
70,raw,False,ip,False,udp,False,data,False,,
71,raw,False,ip,False,udp,False,data,False,,
72,raw,False,ip,False,udp,False,data,False,,
73,raw,False,ip,False,udp,False,data,False,,
74,raw,False,ip,False,udp,False,data,False,,
75,raw,False,ip,False,udp,False,data,False,,
76,raw,False,ip,False,udp,False,data,False,,
77,raw,False,ip,False,udp,False,data,False,,
78,raw,False,ip,False,udp,False,data,False,,
79,raw,False,ip,False,udp,False,data,False,,
80,raw,False,ip,False,udp,False,data,False,,
81,raw,False,ip,False,udp,False,data,False,,
