device_name,functionality_no,measurement_no,duration,volume_kb,packet_count
earwax_wifi_data,1,1,9.954596042633057,64.982421875,231
earwax_wifi_data,1,2,14.339597940444946,93.9892578125,334
earwax_wifi_data,1,3,16.088555097579956,103.27734375,368
earwax_wifi_data,1,4,15.068717956542969,101.390625,360
earwax_wifi_data,1,5,18.16133213043213,119.8125,426
earwax_wifi_data,1,6,17.242741107940674,113.07421875,403
earwax_wifi_data,1,7,17.20557713508606,113.66015625,405
earwax_wifi_data,1,8,21.13854694366455,137.8125,489
earwax_wifi_data,1,9,13.168676137924194,84.984375,304
earwax_wifi_data,1,10,18.270600080490112,116.45703125,416
