device_name,functionality_no,measurement_no,duration,volume_kb,packet_count
guardianalertsystem,1,1,0,0.0,0
guardianalertsystem,1,2,0,0.0,0
guardianalertsystem,1,3,0,0.0,0
guardianalertsystem,1,4,0,0.0,0
guardianalertsystem,1,5,0,0.0,0
guardianalertsystem,1,6,0,0.0,0
guardianalertsystem,1,7,0,0.0,0
guardianalertsystem,1,8,0,0.0,0
guardianalertsystem,1,9,0,0.0,0
guardianalertsystem,1,10,0,0.0,0
guardianalertsystem,2,1,5.264919996261597,69.4150390625,75
guardianalertsystem,2,2,6.05957293510437,69.2509765625,72
guardianalertsystem,2,3,5.46295690536499,69.4150390625,75
guardianalertsystem,2,4,5.709007978439331,69.626953125,79
guardianalertsystem,2,5,5.074156999588013,68.861328125,65
guardianalertsystem,2,6,4.607777118682861,69.1962890625,71
guardianalertsystem,2,7,4.354327201843262,69.244140625,72
guardianalertsystem,2,8,4.71319317817688,69.1962890625,71
guardianalertsystem,2,9,4.458472967147827,69.5244140625,77
guardianalertsystem,2,10,4.473381996154785,69.197265625,71
guardianalertsystem,3,1,12.853919982910156,157.1376953125,255
guardianalertsystem,3,2,5.42822003364563,144.1796875,227
guardianalertsystem,3,3,4.618193864822388,150.8955078125,240
guardianalertsystem,3,4,9.566102027893066,172.349609375,296
guardianalertsystem,3,5,7.4388628005981445,151.0146484375,237
guardianalertsystem,3,6,4.60588002204895,164.6826171875,272
guardianalertsystem,3,7,4.905733108520508,157.92578125,258
guardianalertsystem,3,8,3.604857921600342,164.3994140625,266
guardianalertsystem,3,9,4.653371095657349,158.091796875,261
guardianalertsystem,3,10,4.059131145477295,157.5341796875,251
guardianalertsystem,4,1,11.851576089859009,94.9267578125,165
guardianalertsystem,4,2,9.687938928604126,45.9580078125,101
guardianalertsystem,4,3,9.405941009521484,45.6845703125,96
guardianalertsystem,4,4,6.076437950134277,46.009765625,102
guardianalertsystem,4,5,6.030632019042969,46.0673828125,103
guardianalertsystem,4,6,7.1656858921051025,45.498046875,93
guardianalertsystem,4,7,8.798707008361816,75.1005859375,153
guardianalertsystem,4,8,6.441554069519043,70.3251953125,112
guardianalertsystem,4,9,6.235134840011597,51.6943359375,98
guardianalertsystem,4,10,12.285737991333008,45.8486328125,99
guardianalertsystem,5,1,7.423599004745483,91.330078125,182
guardianalertsystem,5,2,7.663799047470093,82.9580078125,163
guardianalertsystem,5,3,6.166689872741699,80.212890625,157
guardianalertsystem,5,4,5.242390155792236,91.2021484375,185
guardianalertsystem,5,5,5.627366065979004,80.779296875,168
guardianalertsystem,5,6,5.575588941574097,81.0224609375,167
guardianalertsystem,5,7,4.964274168014526,80.3310546875,159
guardianalertsystem,5,8,7.19212007522583,80.013671875,154
guardianalertsystem,5,9,3.925034999847412,80.435546875,161
guardianalertsystem,5,10,3.4983530044555664,81.4609375,175
guardianalertsystem,6,1,10.691139936447144,104.71484375,190
guardianalertsystem,6,2,14.302479028701782,103.84765625,175
guardianalertsystem,6,3,11.71030306816101,104.2626953125,179
guardianalertsystem,6,4,9.212026119232178,49.1279296875,84
guardianalertsystem,6,5,13.254730939865112,158.8623046875,267
guardianalertsystem,6,6,10.115766048431396,104.2412109375,186
guardianalertsystem,6,7,9.763967037200928,104.1787109375,186
guardianalertsystem,6,8,11.533982038497925,104.5078125,192
guardianalertsystem,6,9,10.280484914779663,97.4892578125,173
guardianalertsystem,6,10,11.400665044784546,103.8896484375,181
guardianalertsystem,7,1,2.7569708824157715,19.865234375,36
guardianalertsystem,7,2,0.3299109935760498,7.86328125,20
guardianalertsystem,7,3,0.34349894523620605,7.830078125,19
guardianalertsystem,7,4,0.3723139762878418,8.4130859375,25
guardianalertsystem,7,5,0.3820791244506836,7.884765625,20
guardianalertsystem,7,6,0.28400516510009766,7.8857421875,20
guardianalertsystem,7,7,2.339715003967285,12.1552734375,35
guardianalertsystem,7,8,0.30397796630859375,8.1708984375,21
guardianalertsystem,7,9,0.3228929042816162,7.97265625,22
guardianalertsystem,7,10,0.5023419857025146,8.1591796875,25
guardianalertsystem,8,1,13.227213144302368,137.5966796875,213
guardianalertsystem,8,2,16.54478693008423,144.8623046875,248
guardianalertsystem,8,3,9.563533067703247,126.8486328125,157
guardianalertsystem,8,4,11.286749124526978,129.6806640625,157
guardianalertsystem,8,5,9.818488836288452,129.23046875,156
guardianalertsystem,8,6,9.76810622215271,126.5283203125,151
guardianalertsystem,8,7,12.616189002990723,127.9833984375,178
guardianalertsystem,8,8,15.018155097961426,197.5927734375,245
guardianalertsystem,8,9,10.679755926132202,134.642578125,172
guardianalertsystem,8,10,9.670185089111328,129.2802734375,157
