device_name,functionality_no,measurement_no,duration,volume_kb,packet_count
ketoscanketonemeter,1,1,0,0.0,0
ketoscanketonemeter,1,2,0,0.0,0
ketoscanketonemeter,1,3,0,0.0,0
ketoscanketonemeter,1,4,0,0.0,0
ketoscanketonemeter,1,5,0,0.0,0
ketoscanketonemeter,1,6,0,0.0,0
ketoscanketonemeter,1,7,0,0.0,0
ketoscanketonemeter,1,8,0,0.0,0
ketoscanketonemeter,1,9,0,0.0,0
ketoscanketonemeter,1,10,0,0.0,0
ketoscanketonemeter,2,1,3.178799867630005,62.7783203125,173
ketoscanketonemeter,2,2,4.553574800491333,67.8994140625,194
ketoscanketonemeter,2,3,3.9723222255706787,63.2021484375,183
ketoscanketonemeter,2,4,3.2265470027923584,57.2587890625,149
ketoscanketonemeter,2,5,3.370544195175171,61.2314453125,154
ketoscanketonemeter,2,6,3.337355852127075,61.4833984375,157
ketoscanketonemeter,2,7,3.2156529426574707,61.9248046875,165
ketoscanketonemeter,2,8,3.1808979511260986,59.9423828125,145
ketoscanketonemeter,2,9,3.4605560302734375,62.0712890625,184
ketoscanketonemeter,2,10,3.0916950702667236,60.724609375,164
ketoscanketonemeter,3,1,30.340274810791016,103.0068359375,189
ketoscanketonemeter,3,2,28.15808606147766,85.3310546875,113
ketoscanketonemeter,3,3,24.943734169006348,79.70703125,107
ketoscanketonemeter,3,4,15.401721000671387,85.0576171875,108
ketoscanketonemeter,3,5,16.70237398147583,85.7490234375,115
ketoscanketonemeter,3,6,17.138166189193726,85.7138671875,120
ketoscanketonemeter,3,7,19.64114999771118,86.212890625,128
ketoscanketonemeter,3,8,17.100775003433228,85.755859375,114
ketoscanketonemeter,3,9,19.319931983947754,86.341796875,128
ketoscanketonemeter,3,10,16.325714111328125,85.392578125,113
ketoscanketonemeter,4,1,5.938138961791992,20.794921875,87
ketoscanketonemeter,4,2,3.185553789138794,20.5849609375,84
ketoscanketonemeter,4,3,7.005072116851807,14.873046875,77
ketoscanketonemeter,4,4,7.0057291984558105,20.5302734375,83
ketoscanketonemeter,4,5,6.910314083099365,20.7685546875,86
ketoscanketonemeter,4,6,6.703211069107056,20.521484375,82
ketoscanketonemeter,4,7,5.536159038543701,21.505859375,92
ketoscanketonemeter,4,8,6.313328981399536,20.6591796875,84
ketoscanketonemeter,4,9,5.6508660316467285,20.740234375,86
ketoscanketonemeter,4,10,6.211888074874878,20.521484375,82
ketoscanketonemeter,5,1,8.658587217330933,15.244140625,52
ketoscanketonemeter,5,2,6.87917685508728,15.2705078125,53
ketoscanketonemeter,5,3,6.330417156219482,14.7783203125,44
ketoscanketonemeter,5,4,8.662822961807251,16.083984375,65
ketoscanketonemeter,5,5,6.945162057876587,14.9970703125,48
ketoscanketonemeter,5,6,6.209846019744873,15.1064453125,50
ketoscanketonemeter,5,7,5.9624528884887695,4.701171875,13
ketoscanketonemeter,5,8,5.886490106582642,14.970703125,48
ketoscanketonemeter,5,9,5.773169994354248,14.8330078125,45
ketoscanketonemeter,5,10,6.031814098358154,14.8876953125,46
ketoscanketonemeter,6,1,10.611536979675293,17.56640625,64
ketoscanketonemeter,6,2,11.897095203399658,18.0654296875,68
ketoscanketonemeter,6,3,8.977221012115479,17.5380859375,64
ketoscanketonemeter,6,4,4.171159029006958,17.4375,63
ketoscanketonemeter,6,5,6.585777997970581,12.0361328125,60
ketoscanketonemeter,6,6,8.421463012695312,12.0537109375,62
ketoscanketonemeter,6,7,7.441796064376831,17.9296875,65
ketoscanketonemeter,6,8,4.510010004043579,17.4375,63
ketoscanketonemeter,6,9,9.169360160827637,17.73046875,67
ketoscanketonemeter,6,10,8.293635845184326,17.7568359375,68
