device_name,functionality_no,measurement_no,duration,volume_kb,packet_count
wyzescale,1,1,14.316959857940674,0.3203125,4
wyzescale,1,2,14.187560081481934,0.3203125,4
wyzescale,1,3,6.0531439781188965,0.24609375,3
wyzescale,1,4,14.157680034637451,0.3203125,4
wyzescale,1,5,14.31561803817749,0.3203125,4
wyzescale,1,6,14.213555812835693,0.3203125,4
wyzescale,1,7,14.241676092147827,0.3203125,4
wyzescale,1,8,14.34847903251648,0.3203125,4
wyzescale,1,9,14.157680034637451,0.3203125,4
wyzescale,1,10,14.241147994995117,0.3203125,4
wyzescale,2,1,5.50981593132019,327.40625,712
wyzescale,2,2,2.0527899265289307,284.443359375,592
wyzescale,2,3,3.0280630588531494,305.986328125,686
wyzescale,2,4,2.611346960067749,279.6103515625,685
wyzescale,2,5,4.103639125823975,318.23828125,756
wyzescale,2,6,5.349851131439209,285.056640625,618
wyzescale,2,7,2.791563034057617,301.2626953125,676
wyzescale,2,8,3.697384834289551,311.7841796875,730
wyzescale,2,9,2.0437819957733154,278.255859375,643
wyzescale,2,10,3.8229241371154785,297.158203125,617
wyzescale,3,1,14.187814950942993,3741.486328125,2786
wyzescale,3,2,8.31524109840393,2927.3125,2749
wyzescale,3,3,5.960295915603638,629.6015625,774
wyzescale,3,4,8.349733829498291,1700.794921875,1820
wyzescale,3,5,10.204210042953491,321.720703125,812
wyzescale,3,6,8.684324026107788,2190.1787109375,1848
wyzescale,3,7,7.643939018249512,2455.8193359375,2109
wyzescale,3,8,6.600286960601807,2866.3046875,2956
wyzescale,3,9,5.903677940368652,1923.1923828125,1796
wyzescale,3,10,5.9636640548706055,2484.896484375,2330
wyzescale,4,1,11.543452024459839,190.88671875,573
wyzescale,4,2,10.333476066589355,172.638671875,534
wyzescale,4,3,5.620646953582764,165.4365234375,510
wyzescale,4,4,6.158220052719116,165.1083984375,497
wyzescale,4,5,5.294126033782959,165.5859375,527
wyzescale,4,6,7.583445072174072,170.080078125,517
wyzescale,4,7,2.5533108711242676,112.986328125,416
wyzescale,4,8,5.167348146438599,168.4541015625,517
wyzescale,4,9,5.373173952102661,175.6337890625,512
wyzescale,4,10,5.747101068496704,165.259765625,513
wyzescale,5,1,11.526692152023315,217.5908203125,628
wyzescale,5,2,6.409507989883423,183.033203125,556
wyzescale,5,3,8.20934796333313,207.376953125,610
wyzescale,5,4,7.444541931152344,215.3486328125,640
wyzescale,5,5,5.640829086303711,205.4365234375,595
wyzescale,5,6,4.322888135910034,212.47265625,605
wyzescale,5,7,4.129309892654419,193.6728515625,564
wyzescale,5,8,7.691028118133545,256.5859375,707
wyzescale,5,9,6.693466901779175,205.7802734375,597
wyzescale,5,10,4.915302991867065,186.9853515625,593
wyzescale,6,1,8.212861061096191,221.435546875,618
wyzescale,6,2,4.8384339809417725,215.06640625,600
wyzescale,6,3,8.435240983963013,216.4267578125,594
wyzescale,6,4,3.9273030757904053,205.8818359375,609
wyzescale,6,5,4.081594944000244,206.6015625,624
wyzescale,6,6,4.549771070480347,221.728515625,671
wyzescale,6,7,4.06830096244812,214.4501953125,617
wyzescale,6,8,3.949604034423828,204.310546875,616
wyzescale,6,9,5.717525005340576,214.3515625,597
wyzescale,6,10,3.5227339267730713,190.8994140625,584
wyzescale,7,1,8.44557499885559,214.794921875,637
wyzescale,7,2,5.8866047859191895,211.2470703125,619
wyzescale,7,3,3.4607040882110596,219.205078125,655
wyzescale,7,4,3.412653923034668,217.2470703125,609
wyzescale,7,5,4.084328889846802,211.70703125,622
wyzescale,7,6,3.7847039699554443,236.525390625,707
wyzescale,7,7,4.091346979141235,224.7939453125,676
wyzescale,7,8,3.635589122772217,208.927734375,620
wyzescale,7,9,4.288027048110962,233.748046875,658
wyzescale,7,10,3.233649969100952,211.1875,621
wyzescale,8,1,4.6578099727630615,140.560546875,414
wyzescale,8,2,6.715296030044556,141.1533203125,435
wyzescale,8,3,3.91336989402771,139.498046875,420
wyzescale,8,4,3.4701709747314453,130.869140625,411
wyzescale,8,5,4.317394018173218,130.2109375,401
wyzescale,8,6,3.120967149734497,141.4111328125,395
wyzescale,8,7,4.751723051071167,131.5263671875,421
wyzescale,8,8,6.8675901889801025,130.5166015625,400
wyzescale,8,9,4.71976900100708,130.81640625,407
wyzescale,8,10,6.744309186935425,143.28515625,427
